,path,gender,emotion,sgram_means
80,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-04-01-01-01-02.wav,female,sad,34.25116
81,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-04-01-01-02-02.wav,female,sad,37.081295
82,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-04-01-02-01-02.wav,female,sad,38.585644
83,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-04-01-02-02-02.wav,female,sad,36.16355
84,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-04-02-01-01-02.wav,female,sad,37.357845
85,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-04-02-01-02-02.wav,female,sad,34.627457
86,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-04-02-02-01-02.wav,female,sad,37.969692
87,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-04-02-02-02-02.wav,female,sad,36.7815
88,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-05-01-01-01-02.wav,female,angry,48.534035
89,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-05-01-01-02-02.wav,female,angry,49.708195
90,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-05-01-02-01-02.wav,female,angry,47.442844
91,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-05-01-02-02-02.wav,female,angry,47.156624
92,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-05-02-01-01-02.wav,female,angry,58.21265
93,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-05-02-01-02-02.wav,female,angry,56.12148
94,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-05-02-02-01-02.wav,female,angry,61.369865
95,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_02/03-01-05-02-02-02-02.wav,female,angry,60.646954
140,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-04-01-01-01-03.wav,male,sad,32.953506
141,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-04-01-01-02-03.wav,male,sad,34.413326
142,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-04-01-02-01-03.wav,male,sad,37.5976
143,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-04-01-02-02-03.wav,male,sad,36.48755
144,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-04-02-01-01-03.wav,male,sad,53.93568
145,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-04-02-01-02-03.wav,male,sad,57.322395
146,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-04-02-02-01-03.wav,male,sad,55.121696
147,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-04-02-02-02-03.wav,male,sad,53.94448
148,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-05-01-01-01-03.wav,male,angry,37.42026
149,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-05-01-01-02-03.wav,male,angry,46.545513
150,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-05-01-02-01-03.wav,male,angry,42.429497
151,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-05-01-02-02-03.wav,male,angry,46.957573
152,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-05-02-01-01-03.wav,male,angry,60.360817
153,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-05-02-01-02-03.wav,male,angry,61.342285
154,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-05-02-02-01-03.wav,male,angry,72.97671
155,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_03/03-01-05-02-02-02-03.wav,male,angry,63.087437
200,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-04-01-01-01-04.wav,female,sad,35.021446
201,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-04-01-01-02-04.wav,female,sad,44.12279
202,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-04-01-02-01-04.wav,female,sad,43.728035
203,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-04-01-02-02-04.wav,female,sad,45.251087
204,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-04-02-01-01-04.wav,female,sad,49.595455
205,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-04-02-01-02-04.wav,female,sad,53.925705
206,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-04-02-02-01-04.wav,female,sad,56.194073
207,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-04-02-02-02-04.wav,female,sad,54.09994
208,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-05-01-01-01-04.wav,female,angry,48.846176
209,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-05-01-01-02-04.wav,female,angry,51.817696
210,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-05-01-02-01-04.wav,female,angry,50.025143
211,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-05-01-02-02-04.wav,female,angry,48.280876
212,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-05-02-01-01-04.wav,female,angry,60.4063
213,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-05-02-01-02-04.wav,female,angry,59.7831
214,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-05-02-02-01-04.wav,female,angry,61.255688
215,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_04/03-01-05-02-02-02-04.wav,female,angry,58.41957
260,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-04-01-01-01-05.wav,male,sad,34.321377
261,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-04-01-01-02-05.wav,male,sad,38.629192
262,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-04-01-02-01-05.wav,male,sad,18.27157
263,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-04-01-02-02-05.wav,male,sad,42.693142
264,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-04-02-01-01-05.wav,male,sad,40.48202
265,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-04-02-01-02-05.wav,male,sad,50.71383
266,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-04-02-02-01-05.wav,male,sad,53.75292
267,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-04-02-02-02-05.wav,male,sad,47.397903
268,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-05-01-01-01-05.wav,male,angry,54.27832
269,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-05-01-01-02-05.wav,male,angry,55.659943
270,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-05-01-02-01-05.wav,male,angry,49.09402
271,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-05-01-02-02-05.wav,male,angry,51.747185
272,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-05-02-01-01-05.wav,male,angry,66.344666
273,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-05-02-01-02-05.wav,male,angry,66.01767
274,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-05-02-02-01-05.wav,male,angry,67.193
275,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_05/03-01-05-02-02-02-05.wav,male,angry,68.21733
320,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-04-01-01-01-06.wav,female,sad,19.875763
321,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-04-01-01-02-06.wav,female,sad,21.364927
322,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-04-01-02-01-06.wav,female,sad,30.417503
323,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-04-01-02-02-06.wav,female,sad,24.300098
324,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-04-02-01-01-06.wav,female,sad,48.291374
325,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-04-02-01-02-06.wav,female,sad,55.449608
326,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-04-02-02-01-06.wav,female,sad,48.07631
327,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-04-02-02-02-06.wav,female,sad,47.449192
328,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-05-01-01-01-06.wav,female,angry,39.87882
329,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-05-01-01-02-06.wav,female,angry,36.81521
330,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-05-01-02-01-06.wav,female,angry,47.28727
331,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-05-01-02-02-06.wav,female,angry,45.839924
332,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-05-02-01-01-06.wav,female,angry,62.31022
333,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-05-02-01-02-06.wav,female,angry,61.122124
334,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-05-02-02-01-06.wav,female,angry,60.149765
335,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_06/03-01-05-02-02-02-06.wav,female,angry,67.021454
380,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-04-01-01-01-07.wav,male,sad,26.009268
381,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-04-01-01-02-07.wav,male,sad,28.48812
382,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-04-01-02-01-07.wav,male,sad,31.688435
383,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-04-01-02-02-07.wav,male,sad,50.51941
384,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-04-02-01-01-07.wav,male,sad,45.45376
385,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-04-02-01-02-07.wav,male,sad,41.56655
386,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-04-02-02-01-07.wav,male,sad,60.17134
387,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-04-02-02-02-07.wav,male,sad,42.50564
388,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-05-01-01-01-07.wav,male,angry,52.618618
389,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-05-01-01-02-07.wav,male,angry,63.179077
390,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-05-01-02-01-07.wav,male,angry,42.9943
391,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-05-01-02-02-07.wav,male,angry,51.51638
392,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-05-02-01-01-07.wav,male,angry,70.97044
393,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-05-02-01-02-07.wav,male,angry,63.677692
394,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-05-02-02-01-07.wav,male,angry,70.01938
395,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_07/03-01-05-02-02-02-07.wav,male,angry,63.57998
440,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-04-01-01-01-08.wav,female,sad,58.805058
441,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-04-01-01-02-08.wav,female,sad,45.906033
442,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-04-01-02-01-08.wav,female,sad,46.92226
443,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-04-01-02-02-08.wav,female,sad,51.62286
444,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-04-02-01-01-08.wav,female,sad,60.481377
445,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-04-02-01-02-08.wav,female,sad,43.77435
446,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-04-02-02-01-08.wav,female,sad,47.27832
447,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-04-02-02-02-08.wav,female,sad,51.573666
448,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-05-01-01-01-08.wav,female,angry,57.85329
449,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-05-01-01-02-08.wav,female,angry,48.81685
450,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-05-01-02-01-08.wav,female,angry,61.667538
451,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-05-01-02-02-08.wav,female,angry,58.316578
452,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-05-02-01-01-08.wav,female,angry,65.44585
453,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-05-02-01-02-08.wav,female,angry,62.726036
454,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-05-02-02-01-08.wav,female,angry,62.873627
455,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_08/03-01-05-02-02-02-08.wav,female,angry,63.150764
500,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-04-01-01-01-09.wav,male,sad,34.520954
501,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-04-01-01-02-09.wav,male,sad,25.072702
502,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-04-01-02-01-09.wav,male,sad,37.965904
503,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-04-01-02-02-09.wav,male,sad,17.09019
504,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-04-02-01-01-09.wav,male,sad,21.901627
505,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-04-02-01-02-09.wav,male,sad,29.847391
506,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-04-02-02-01-09.wav,male,sad,28.943655
507,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-04-02-02-02-09.wav,male,sad,27.26375
508,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-05-01-01-01-09.wav,male,angry,27.92915
509,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-05-01-01-02-09.wav,male,angry,32.828556
510,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-05-01-02-01-09.wav,male,angry,44.67027
511,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-05-01-02-02-09.wav,male,angry,42.782402
512,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-05-02-01-01-09.wav,male,angry,71.40228
513,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-05-02-01-02-09.wav,male,angry,64.46474
514,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-05-02-02-01-09.wav,male,angry,66.982315
515,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_09/03-01-05-02-02-02-09.wav,male,angry,66.41167
560,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-04-01-01-01-10.wav,female,sad,52.82718
561,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-04-01-01-02-10.wav,female,sad,56.0123
562,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-04-01-02-01-10.wav,female,sad,57.968334
563,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-04-01-02-02-10.wav,female,sad,51.207767
564,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-04-02-01-01-10.wav,female,sad,53.18896
565,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-04-02-01-02-10.wav,female,sad,50.461136
566,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-04-02-02-01-10.wav,female,sad,51.17224
567,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-04-02-02-02-10.wav,female,sad,49.124657
568,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-05-01-01-01-10.wav,female,angry,54.207394
569,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-05-01-01-02-10.wav,female,angry,53.721134
570,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-05-01-02-01-10.wav,female,angry,51.865623
571,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-05-01-02-02-10.wav,female,angry,60.150776
572,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-05-02-01-01-10.wav,female,angry,65.26693
573,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-05-02-01-02-10.wav,female,angry,64.674515
574,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-05-02-02-01-10.wav,female,angry,62.104046
575,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_10/03-01-05-02-02-02-10.wav,female,angry,62.306408
620,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-04-01-01-01-11.wav,male,sad,55.30026
621,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-04-01-01-02-11.wav,male,sad,47.62639
622,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-04-01-02-01-11.wav,male,sad,32.68088
623,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-04-01-02-02-11.wav,male,sad,54.164215
624,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-04-02-01-01-11.wav,male,sad,55.691498
625,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-04-02-01-02-11.wav,male,sad,46.562565
626,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-04-02-02-01-11.wav,male,sad,48.007923
627,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-04-02-02-02-11.wav,male,sad,54.88713
628,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-05-01-01-01-11.wav,male,angry,57.778145
629,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-05-01-01-02-11.wav,male,angry,59.48008
630,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-05-01-02-01-11.wav,male,angry,63.11489
631,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-05-01-02-02-11.wav,male,angry,64.18043
632,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-05-02-01-01-11.wav,male,angry,60.18936
633,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-05-02-01-02-11.wav,male,angry,65.26404
634,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-05-02-02-01-11.wav,male,angry,64.63354
635,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_11/03-01-05-02-02-02-11.wav,male,angry,68.85332
680,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-04-01-01-01-12.wav,female,sad,38.172794
681,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-04-01-01-02-12.wav,female,sad,38.203533
682,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-04-01-02-01-12.wav,female,sad,41.60497
683,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-04-01-02-02-12.wav,female,sad,46.335407
684,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-04-02-01-01-12.wav,female,sad,68.19937
685,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-04-02-01-02-12.wav,female,sad,50.75574
686,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-04-02-02-01-12.wav,female,sad,50.394836
687,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-04-02-02-02-12.wav,female,sad,52.340874
688,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-05-01-01-01-12.wav,female,angry,44.397793
689,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-05-01-01-02-12.wav,female,angry,43.273598
690,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-05-01-02-01-12.wav,female,angry,40.177147
691,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-05-01-02-02-12.wav,female,angry,43.320084
692,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-05-02-01-01-12.wav,female,angry,57.83237
693,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-05-02-01-02-12.wav,female,angry,64.05624
694,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-05-02-02-01-12.wav,female,angry,55.04613
695,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_12/03-01-05-02-02-02-12.wav,female,angry,57.94487
740,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-04-01-01-01-13.wav,male,sad,40.25005
741,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-04-01-01-02-13.wav,male,sad,27.29002
742,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-04-01-02-01-13.wav,male,sad,49.574295
743,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-04-01-02-02-13.wav,male,sad,36.965694
744,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-04-02-01-01-13.wav,male,sad,49.472755
745,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-04-02-01-02-13.wav,male,sad,37.68988
746,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-04-02-02-01-13.wav,male,sad,40.36651
747,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-04-02-02-02-13.wav,male,sad,35.650864
748,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-05-01-01-01-13.wav,male,angry,45.05582
749,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-05-01-01-02-13.wav,male,angry,49.122578
750,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-05-01-02-01-13.wav,male,angry,48.72739
751,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-05-01-02-02-13.wav,male,angry,51.543736
752,C:\Users\nrahm\emotion-from-speech\data/raw/ravdess_audios/Actor_13/03-01-05-02-01-01-13.wav,male,angry,65.962494
